schema_version,catalog,run_index,run_seed,target_index,abort_ordinal,status,dv_mag_m_per_s,dv_second_burn_m_per_s,coast_min_range_m,bounded_min_range_m,clearance_m,keep_out_radius_m,clear_margin_m
1.1,SL-16 / Zenit-2 second stage,194,14805019072573211961,2,1,Clean,0.038816,0.000000,422.6286,422.6286,222.6286,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,195,8075635883141261427,0,1,Clean,0.086420,0.000000,242.0210,242.0207,42.0210,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,196,4486869778840129727,0,1,Clean,0.114301,0.000000,306.5933,306.5930,106.5933,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,196,4486869778840129727,2,2,Clean,0.087231,0.000000,352.2198,352.2194,152.2198,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,197,10054881592757379785,0,1,Clean,0.042649,0.000000,417.1378,417.1377,217.1378,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,200,3155556158683528400,1,1,Clean,0.098278,0.000000,254.2384,254.2383,54.2384,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,200,3155556158683528400,3,2,Clean,0.045096,0.000000,439.8786,439.8785,239.8786,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,202,4077043642203238609,1,1,Clean,0.006724,0.000000,312.3062,312.3062,112.3062,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,203,10637261063243818079,1,1,Clean,0.082861,0.000000,364.4055,364.4053,164.4055,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,204,14799367576393331446,0,1,Clean,0.037436,0.000000,441.0615,441.0615,241.0615,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,206,17601238814372310654,0,1,Clean,0.023483,0.000000,371.3020,371.3019,171.3020,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,208,5489551596980203656,0,1,Clean,0.081589,0.000000,284.7238,284.7235,84.7238,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,210,3226135892801422906,0,1,Clean,0.072600,0.000000,387.1686,387.1684,187.1686,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,210,3226135892801422906,3,2,Clean,0.026597,0.000000,330.3448,330.3448,130.3448,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,214,12587257099267870657,3,1,Clean,0.048322,0.000000,405.5952,405.5951,205.5952,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,215,11779131331616995485,2,1,Clean,0.029547,0.000000,368.8089,368.8089,168.8089,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,218,13896632234930810582,2,1,Clean,0.063382,0.000000,390.8719,390.8718,190.8719,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,218,13896632234930810582,3,2,Clean,0.018933,0.000000,397.8489,397.8488,197.8489,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,222,11098807580456854598,2,1,Clean,0.054250,0.000000,336.9180,336.9179,136.9180,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,222,11098807580456854598,4,2,Clean,0.124484,0.000000,333.4220,333.4219,133.4220,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,225,16142011334277548782,1,1,Clean,0.095010,0.000000,260.9374,260.9371,60.9374,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,225,16142011334277548782,3,2,Clean,0.053453,0.000000,325.5126,325.5125,125.5126,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,228,953772273610369001,0,1,Clean,0.090602,0.000000,385.2823,385.2822,185.2823,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,232,6188658767605349674,2,1,Clean,0.051329,0.000000,366.1928,366.1928,166.1928,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,233,15353279041863467294,2,1,Clean,0.051918,0.000000,344.2681,344.2681,144.2681,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,234,15811483929120572264,0,1,Clean,0.070624,0.000000,364.7568,364.7567,164.7568,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,234,15811483929120572264,4,2,Clean,0.072325,0.000000,325.8072,325.8069,125.8072,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,239,16961107358293062352,1,1,Clean,0.187680,0.000000,267.3070,267.3065,67.3070,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,240,6607952999734016911,0,1,Clean,0.061964,0.000000,307.6603,307.6602,107.6603,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,242,6110909572389015657,0,1,Clean,0.061917,0.000000,328.6711,328.6710,128.6711,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,243,6151929363974725934,2,1,Clean,0.053100,0.000000,327.3025,327.3024,127.3025,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,243,6151929363974725934,4,2,Clean,0.021587,0.000000,361.8703,361.8703,161.8703,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,244,16463238388540939222,1,1,Clean,0.043495,0.000000,375.5664,375.5664,175.5664,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,247,2320823591091422948,2,1,Clean,0.039849,0.000000,351.1731,351.1731,151.1731,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,253,8040475927144844137,3,1,Clean,0.127751,0.000000,282.8036,282.8032,82.8036,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,257,6571218009930293,2,1,Clean,0.036304,0.000000,426.5103,426.5103,226.5103,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,258,8979914127822139566,2,1,Clean,0.080616,0.000000,344.8213,344.8211,144.8213,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,259,16636828291388881538,3,1,Clean,0.065393,0.000000,373.7325,373.7324,173.7325,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,261,6535780063691586548,1,1,Clean,0.032697,0.000000,313.3606,313.3605,113.3606,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,264,7992129092518274287,2,1,Clean,0.017861,0.000000,332.3453,332.3452,132.3453,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,269,1888589630298391167,3,1,Clean,0.107180,0.000000,338.6699,338.6695,138.6699,200.0,20.0
